English,Bengali
I need to shave.,আমার দাড়ি কামানো দরকার।
I play football.,আমি ফুটবল খেলি।
I played tennis.,আমি টেনিস খেললাম।
I saw something.,আমি কিছু একটা দেখলাম।
I see something.,আমি কিছু একটা দেখতে পাচ্ছি।
I take vitamins.,আমি ভিটামিন নিই।
I teach English.,আমি ইংরাজি পড়াই।
I totally agree.,আমি সম্পুর্ণ একমত।
I want a guitar.,আমার একটা গীটার চাই।
I want that bag.,আমার ওই ব্যাগটা চাই।
I was a teacher.,আমি একজন শিক্ষক ছিলাম।
I was concerned.,আমি উদ্বিগ্ন ছিলাম।
I was negligent.,আমি অসতর্ক ছিলাম।
I was petrified.,আমি পাথর হয়ে গেছিলাম।
I was surprised.,আমি আশ্চর্য্যচকিত হয়ে গেছিলাম।
I'd be grateful.,আমি কৃতজ্ঞ থাকবো।
I'll arrange it.,আমি সেটা ব্যবস্থা করে দেবো।
I'll ask around.,আমি আশেপাশে জিজ্ঞাসা করে দেখবো।
I'll be outside.,আমি বাইরে থাকবো।
I'll be present.,আমি উপস্থিত থাকবো।
I'll call first.,আমি আগে ফোন করবো।
I'll come along.,আমি সঙ্গে যাবো।
I'll get lonely.,আমি একলা হয়ে যাবো।
I'll keep watch.,আমি পাহারা দেব।
I'll never stop.,আমি কখনই থামবো না।
I'll never tell.,আমি কখনই বলবো না।
I'll stay close.,আমি কাছাকাছিই থাকবো।
I'll take those.,আমি ওইগুলো নেবো।
I'll work alone.,আমি একলা কাজ করবো।
I'm a detective.,আমি গোয়েন্দা।
I'm almost sure.,আমি প্রায় নিশ্চিত।
I'm an optimist.,আমি একজন আশাবাদী।
I'm coming back.,আমি ফিরে আসছি।
I'm doing great.,আমি ভালোই আছি।
I'm eating here.,আমি এখানে খাচ্ছি।
I'm going to go.,আমি এবার যাবো।
I'm just asking.,আমি খালি জিজ্ঞাসা করছি।
I'm just joking.,আমি একটু মজা করছি।
I'm needed here.,আমাকে এখানে দরকার।
I'm nervous now.,আমি এখন ঘাবড়িয়ে আছি।
I'm never wrong.,আমি কখনই ভুল করি না।
I'm not arguing.,আমি তর্ক করছি না।
I'm not certain.,আমি নশ্চিত নই।
I'm not jealous.,আমি ঈর্ষাপরায়ণ নই।
I'm not leaving.,আমি যাচ্ছি না।
I'm not perfect.,আমি নিখুঁত নই।
I'm not thirsty.,আমার তৃষ্ণা পায় নি।
I'm not waiting.,আমি অপেক্ষা করছি না।
I'm not worried.,আমি চিন্তিত নই।
I'm not yelling.,আমি চিৎকার করছি না।
I'm only joking.,আমি খালি মজা করছি।
I'm pretty sure.,আমি মোটামুটি নিশ্চিত।
I'm pretty tall.,আমি মোটামুটি লম্বা।
I'm quite tired.,আমি বেশ ক্লান্ত।
I'm ready to go.,আমি যাওয়ার জন্য তৈরি।
I'm your friend.,আমি তোর বন্ধু।
I've got a cold.,আমার ঠান্ডা লেগেছে।
I've heard that.,আমি সেটা শুনেছি।
I've studied it.,আমি সেটা পড়েছি।
Is Tom dreaming?,টম কি স্বপ্ন দেখছে?
Is anybody here?,এখানে কি কেউ আছেন?
Is anybody home?,বাড়িতে কি কেউ আছেন?
Is he a teacher?,ও কি শিক্ষক?
Is it near here?,ওটা কি কাছাকাছি আছে?
Isn't Tom great?,টম দারুন না?
It is very near.,ওটা অনেক কাছে।
It looked cheap.,এটাকে দেখে তো সস্তা মনে হয়েছিল।
It looked fresh.,ওটা দেখে টাটকা মনে হচ্ছিলো।
It's almost six.,এখন প্রায় ছটা বাজে।
It's just blood.,এ তো খালি রক্ত।
It's just wrong.,এটা ভুল।
It's quite good.,এটা বেশ ভালো।
It's quite nice.,এটা বেশ চমৎকার।
It's still mine.,এটা এখনও আমার।
It's time to go.,যাওয়ার সময় হয়ে গেছে।
Keep Tom inside.,টমকে ভেতরেই রাখুন।
Let's get ready.,"চলো, তৈরী হওয়া যাক।"
Let's talk here.,এখানে কথা বলা যাক।
Let's wait here.,এখানে অপেক্ষা করা যাক।
Look behind you.,পেছনে দেখুন।
Look who's here.,দেখো কে এসেছে।
Merry Christmas!,শুভ বড়দিন!
Mistakes happen.,ভুল হয়েই থাকে।
My book is here.,আমার বইটা এখানে।
My father is in.,আমার বাবা ভেতরে।
My father walks.,আমার বাবা হাঁটে।
My throat hurts.,আমার গলা ব্যাথা করছে।
Nobody was home.,কেউ বাড়ি ছিলো না।
Nothing changed.,কিছুই পাল্টালো না।
Nothing's there.,ওখানে কিছুই নেই।
Open your mouth!,মুখ খোলো!
Please hurry up.,একটু তারাতারি করুন।
Please sit here.,অনুগ্রহ করে এখানে বসুন।
Puzzles are fun.,ধাঁধা মজার জিনিস।
Read this first.,আগে এটা পড়ুন।
Rules are rules.,নিয়ম হল নিয়ম।
See you at five.,পাঁচটার সময় দেখা হবে।
Send it by mail.,এটাকে ডাকে পাঠিয়ে দিন।
She is a doctor.,ইনি একজন ডাক্তার।
She's my sister.,ও আমার বোন।
Sit right there.,ঠিক ওখানেই বসুন।
Someone coughed.,কেউ একজন কাশলো।
Spring has come.,বসন্ত এসে গেছে।
Stop right here.,এখানেই থামুন।
Stop that woman.,ওই মহিলাটিকে থামান।
Take it outside.,এটাকে বাইরে নিয়ে যান।
That is my seat.,ওটা আমার সীট।
That man is Tom.,ওই লোকটা টম।
There's no salt.,নুন নেই।
These are Tom's.,এইগুলো টমের।
These are birds.,এইগুলো পাখি।
They all talked.,ওনারা সবাই কথা বললো।
They don't care.,তারা পরোয়া করে না।
They live there.,তাঁরা ওখানে থাকেন।
They're doctors.,তারা ডাক্তার।
This is my wife.,এ আমার স্ত্রী।
This isn't mine.,এটা আমার নয়।
Tom came inside.,টম ভেতরে এলো।
Tom disappeared.,টম অদৃশ্য হয়ে গেলো।
Tom exaggerates.,টম বাড়িয়ে বলে।
Tom has left me.,টম আমাকে ছেড়ে চলে গেছে।
Tom has seen it.,টম সেটা দেখেছে।
Tom is a farmer.,টম কৃষক।
Tom is a player.,টম খেলোয়ার।
Tom is coughing.,টম কাশছে।
